,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
104866,Viet Tri,20,10,7,WSW,0.0,62,26,1026,2014-01-20,Bắc,Lạnh
104867,Viet Tri,23,14,7,SE,0.0,67,22,1020,2015-01-20,Bắc,Lạnh
104868,Viet Tri,21,15,7,ESE,0.1,75,75,1017,2016-01-20,Bắc,Lạnh
104869,Viet Tri,16,15,6,E,1.0,81,99,1022,2017-01-20,Bắc,Mây
104870,Viet Tri,21,16,7,ESE,0.5,83,56,1015,2018-01-20,Bắc,Mây
104871,Viet Tri,22,16,6,SE,1.6,84,88,1018,2019-01-20,Bắc,Mây
104872,Viet Tri,18,14,5,ESE,0.0,73,99,1020,2020-01-20,Bắc,Lạnh
104873,Viet Tri,20,13,6,ESE,0.0,69,46,1016,2021-01-20,Bắc,Lạnh
104874,Viet Tri,23,13,5,SE,0.4,77,42,1015,2009-01-22,Bắc,Lạnh
104875,Viet Tri,19,15,7,ESE,77.4,97,100,1018,2010-01-22,Bắc,Mây
104876,Viet Tri,18,8,5,E,0.0,69,35,1019,2011-01-22,Bắc,Lạnh
104877,Viet Tri,17,12,9,ENE,3.1,82,82,1015,2012-01-22,Bắc,Mây
104878,Viet Tri,23,19,7,ESE,1.7,85,62,1018,2013-01-22,Bắc,Mây
104879,Viet Tri,23,8,4,E,0.0,34,0,1025,2014-01-22,Bắc,Lạnh
104880,Viet Tri,24,15,7,SE,0.0,64,2,1020,2015-01-22,Bắc,Lạnh
104881,Viet Tri,20,14,10,E,0.7,72,96,1017,2016-01-22,Bắc,Lạnh
104882,Viet Tri,20,14,4,SW,0.0,70,44,1026,2017-01-22,Bắc,Lạnh
104883,Viet Tri,22,19,7,ESE,6.7,85,81,1013,2018-01-22,Bắc,Mây
104884,Viet Tri,18,13,5,SW,0.0,58,52,1024,2019-01-22,Bắc,Lạnh
104885,Viet Tri,25,20,11,ESE,0.4,78,70,1016,2020-01-22,Bắc,Lạnh
104886,Viet Tri,25,19,2,SE,0.0,65,71,1015,2021-01-22,Bắc,Lạnh
104887,Viet Tri,16,14,7,NE,4.9,91,92,1019,2009-01-23,Bắc,Mây
104888,Viet Tri,15,13,6,ENE,43.6,94,83,1021,2010-01-23,Bắc,Mây
104889,Viet Tri,18,11,6,NE,0.2,67,61,1022,2011-01-23,Bắc,Lạnh
104890,Viet Tri,17,9,6,E,0.0,67,57,1019,2012-01-23,Bắc,Lạnh
104891,Viet Tri,23,18,7,SE,0.2,84,75,1017,2013-01-23,Bắc,Mây
104892,Viet Tri,21,10,7,SE,0.0,42,0,1020,2014-01-23,Bắc,Lạnh
104893,Viet Tri,19,14,9,ESE,0.6,81,52,1016,2015-01-23,Bắc,Mây
104894,Viet Tri,10,5,13,ENE,3.9,67,90,1028,2016-01-23,Bắc,Lạnh
104895,Viet Tri,21,13,3,SE,0.0,71,33,1024,2017-01-23,Bắc,Lạnh
104896,Viet Tri,24,18,9,SE,3.2,79,69,1012,2018-01-23,Bắc,Lạnh
104897,Viet Tri,20,10,6,ESE,0.0,61,23,1020,2019-01-23,Bắc,Lạnh
104898,Viet Tri,25,21,12,ESE,0.6,77,77,1014,2020-01-23,Bắc,Lạnh
104899,Viet Tri,26,18,8,SE,0.0,63,35,1014,2021-01-23,Bắc,Lạnh
104900,Viet Tri,21,9,6,ESE,0.0,54,7,1028,2009-01-12,Bắc,Lạnh
104901,Viet Tri,12,11,5,ESE,5.4,85,87,1025,2010-01-12,Bắc,Mây
104902,Viet Tri,17,6,4,E,0.0,61,40,1019,2011-01-12,Bắc,Lạnh
104903,Viet Tri,20,13,4,E,1.0,81,71,1022,2012-01-12,Bắc,Mây
104904,Viet Tri,17,10,4,SSE,0.1,61,53,1021,2013-01-12,Bắc,Lạnh
104905,Viet Tri,17,15,7,NE,3.5,78,86,1023,2014-01-12,Bắc,Lạnh
104906,Viet Tri,19,9,5,WNW,0.0,77,20,1024,2015-01-12,Bắc,Lạnh
