,province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,region,weather
127557,Phan Thiet,28,21,9,ENE,0.0,74,39,1011,2011-01-15,Trung,Lạnh
127558,Phan Thiet,30,23,12,ENE,0.2,77,24,1008,2012-01-15,Trung,Nắng
127559,Phan Thiet,30,22,14,ENE,0.0,71,28,1013,2013-01-15,Trung,Nắng
127560,Phan Thiet,28,19,14,NE,0.0,64,6,1015,2014-01-15,Trung,Lạnh
127561,Phan Thiet,30,17,12,ENE,0.0,66,1,1015,2015-01-15,Trung,Nắng
127562,Phan Thiet,32,23,13,ENE,0.0,76,11,1010,2016-01-15,Trung,Nắng
127563,Phan Thiet,29,23,17,NE,4.0,77,64,1010,2017-01-15,Trung,Gió
127564,Phan Thiet,31,22,16,ENE,0.0,67,40,1011,2018-01-15,Trung,Nắng
127565,Phan Thiet,31,24,15,ENE,0.0,64,49,1011,2019-01-15,Trung,Nắng
127566,Phan Thiet,30,19,18,ENE,0.0,70,3,1012,2020-01-15,Trung,Nắng
127567,Phan Thiet,26,20,9,ENE,0.0,78,10,1011,2021-01-15,Trung,Lạnh
127568,Phan Thiet,29,21,11,ENE,0.0,67,3,1012,2009-01-19,Trung,Lạnh
127569,Phan Thiet,25,22,18,E,16.5,92,81,1010,2010-01-19,Trung,Mây
127570,Phan Thiet,30,21,7,SSW,0.0,73,21,1010,2011-01-19,Trung,Nắng
127571,Phan Thiet,30,23,13,ENE,0.2,81,24,1009,2012-01-19,Trung,Nắng
127572,Phan Thiet,30,21,16,NE,0.0,66,7,1013,2013-01-19,Trung,Nắng
127573,Phan Thiet,29,19,15,NE,0.0,62,10,1016,2014-01-19,Trung,Lạnh
127574,Phan Thiet,30,20,15,ENE,0.0,65,18,1015,2015-01-19,Trung,Nắng
127575,Phan Thiet,32,23,14,ENE,0.0,77,16,1012,2016-01-19,Trung,Nắng
127576,Phan Thiet,32,23,16,ENE,0.0,64,28,1013,2017-01-19,Trung,Nắng
127577,Phan Thiet,32,24,18,NE,0.3,69,39,1010,2018-01-19,Trung,Nắng
127578,Phan Thiet,32,22,21,ENE,0.0,66,14,1012,2019-01-19,Trung,Nắng
127579,Phan Thiet,29,21,20,ENE,0.0,71,9,1013,2020-01-19,Trung,Lạnh
127580,Phan Thiet,26,20,7,S,0.0,68,30,1011,2021-01-19,Trung,Lạnh
127581,Phan Thiet,28,22,14,NE,0.0,64,31,1016,2009-01-12,Trung,Gió
